,frase
216,"O/A Sra.  Eliina Honkanen sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete STON/O2. 3101283. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
217,"O/A Sr.  Sidney Samuel Jacobsohn não sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 27.0 pelo bilhete 243847. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
218,"O/A Sra.  Albina Bazzani sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Cherbourg, na cabine D15, classe A. Pagou US$ 76.29 pelo bilhete 11813. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
219,"O/A Sr.  Walter Harris não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete W/C 14208. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
220,"O/A Sr.  Victor Francis Sunderland sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete SOTON/OQ 392089. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
221,"O/A Sr.  James H Bracken não sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 220367. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
222,"O/A Sr.  George Henry Green não sobreviveu ao acidente do Titanic. Na época, contava com 51 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 21440. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
223,"O/A Sr.  Christo Nenkoff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349234. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
224,"O/A Sr.  Frederick Maxfield Hoyt sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Southampton, na cabine C93, classe A. Pagou US$ 90.0 pelo bilhete 19943. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
225,"O/A Sr.  Karl Ivar Sven Berglund não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.35 pelo bilhete PP 4348. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
226,"O/A Sr.  William John Mellors sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete SW/PP 751. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
227,"O/A Sr.  John Hall (""Henry"") Lovell não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete A/5 21173. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
228,"O/A Sr.  Arne Jonas Fahlstrom não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 236171. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
229,"O/A Sra.  Mathilde Lefebre não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 25.47 pelo bilhete 4133. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
230,"O/A Sra.  Henry Birkhardt (Irene Wallach) Harris sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine C83, classe A. Pagou US$ 83.48 pelo bilhete 36973. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
231,"O/A Sr.  Bengt Edvin Larsson não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 347067. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
232,"O/A Sr.  Ernst Adolf Sjostedt não sobreviveu ao acidente do Titanic. Na época, contava com 59 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.5 pelo bilhete 237442. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
233,"O/A Sra.  Lillian Gertrud Asplund sobreviveu ao acidente do Titanic. Na época, contava com 5 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 31.39 pelo bilhete 347077. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
234,"O/A Sr.  Robert William Norman Leyson não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete C.A. 29566. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
235,"O/A Sra.  Alice Phoebe Harknett não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.55 pelo bilhete W./C. 6609. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
236,"O/A Sr.  Stephen Hold não sobreviveu ao acidente do Titanic. Na época, contava com 44 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 26707. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
237,"O/A Sra.  Marjorie ""Lottie"" Collyer sobreviveu ao acidente do Titanic. Na época, contava com 8 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.25 pelo bilhete C.A. 31921. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
238,"O/A Sr.  Frederick William Pengelly não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete 28665. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
239,"O/A Sr.  George Henry Hunt não sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 12.28 pelo bilhete SCO/W 1585. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
240,"O/A Sra.  Thamine Zabour não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 14.45 pelo bilhete 2665. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
241,"O/A Sra.  Katherine ""Kate"" Murphy sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 15.5 pelo bilhete 367230. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
242,"O/A Sr.  Reginald Charles Coleridge não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete W./C. 14263. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
243,"O/A Sr.  Matti Alexanteri Maenpaa não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.12 pelo bilhete STON/O 2. 3101275. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
244,"O/A Sr.  Sleiman Attalah não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.22 pelo bilhete 2694. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
245,"O/A Sr.  William Edward Minahan não sobreviveu ao acidente do Titanic. Na época, contava com 44 anos, embarcou em Queenstown, na cabine C78, classe A. Pagou US$ 90.0 pelo bilhete 19928. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
246,"O/A Sra.  Agda Thorilda Viktoria Lindahl não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 347071. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
247,"O/A Sra.  William (Anna) Hamalainen sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 14.5 pelo bilhete 250649. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
248,"O/A Sr.  Richard Leonard Beckwith sobreviveu ao acidente do Titanic. Na época, contava com 37 anos, embarcou em Southampton, na cabine D35, classe A. Pagou US$ 52.55 pelo bilhete 11751. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
249,"O/A Sr.  Ernest Courtenay Carter não sobreviveu ao acidente do Titanic. Na época, contava com 54 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 244252. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
250,"O/A Sr.  James George Reed não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.25 pelo bilhete 362316. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
251,"O/A Sra.  Wilhelm (Elna Matilda Persson) Strom não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine G6, classe C. Pagou US$ 10.46 pelo bilhete 347054. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
252,"O/A Sr.  William Thomas Stead não sobreviveu ao acidente do Titanic. Na época, contava com 62 anos, embarcou em Southampton, na cabine C87, classe A. Pagou US$ 26.55 pelo bilhete 113514. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
253,"O/A Sr.  William Arthur Lobb não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 16.1 pelo bilhete A/5. 3336. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
254,"O/A Sra.  Viktor (Helena Wilhelmina) Rosblom não sobreviveu ao acidente do Titanic. Na época, contava com 41 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 20.21 pelo bilhete 370129. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
255,"O/A Sra.  Darwis (Hanne Youssef Razi) Touma sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 15.25 pelo bilhete 2650. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
256,"O/A Sra.  Gertrude Maybelle Thorne sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 79.2 pelo bilhete PC 17585. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
257,"O/A Sra.  Gladys Cherry sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine B77, classe A. Pagou US$ 86.5 pelo bilhete 110152. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
258,"O/A Sra.  Anna Ward sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 512.33 pelo bilhete PC 17755. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
259,"O/A Sra.  (Lutie Davis) Parrish sobreviveu ao acidente do Titanic. Na época, contava com 50 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 230433. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
260,"O/A Sr.  Thomas Smith não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 384461. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
261,"O/A Sr.  Edvin Rojj Felix Asplund sobreviveu ao acidente do Titanic. Na época, contava com 3 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 31.39 pelo bilhete 347077. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
262,"O/A Sr.  Emil Taussig não sobreviveu ao acidente do Titanic. Na época, contava com 52 anos, embarcou em Southampton, na cabine E67, classe A. Pagou US$ 79.65 pelo bilhete 110413. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
263,"O/A Sr.  William Harrison não sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Southampton, na cabine B94, classe A. Pagou US$ 0.0 pelo bilhete 112059. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
264,"O/A Sra.  Delia Henry não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 382649. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
265,"O/A Sr.  David Reeves não sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete C.A. 17248. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
266,"O/A Sr.  Ernesti Arvid Panula não sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 39.69 pelo bilhete 3101295. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
267,"O/A Sr.  Ernst Ulrik Persson sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 347083. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
268,"O/A Sra.  William Thompson (Edith Junkins) Graham sobreviveu ao acidente do Titanic. Na época, contava com 58 anos, embarcou em Southampton, na cabine C125, classe A. Pagou US$ 153.46 pelo bilhete PC 17582. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
269,"O/A Sra.  Amelia Bissette sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine C99, classe A. Pagou US$ 135.63 pelo bilhete PC 17760. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
270,"O/A Sr.  Alexander Cairns não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 31.0 pelo bilhete 113798. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
271,"O/A Sr.  William Henry Tornquist sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 0.0 pelo bilhete LINE. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
272,"O/A Sra.  (Elizabeth Anne Maidment) Mellinger sobreviveu ao acidente do Titanic. Na época, contava com 41 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 19.5 pelo bilhete 250644. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
273,"O/A Sr.  Charles H Natsch não sobreviveu ao acidente do Titanic. Na época, contava com 37 anos, embarcou em Cherbourg, na cabine C118, classe A. Pagou US$ 29.7 pelo bilhete PC 17596. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
274,"O/A Sra.  Hanora ""Nora"" Healy sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 370375. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
275,"O/A Sra.  Kornelia Theodosia Andrews sobreviveu ao acidente do Titanic. Na época, contava com 63 anos, embarcou em Southampton, na cabine D7, classe A. Pagou US$ 77.96 pelo bilhete 13502. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
276,"O/A Sra.  Augusta Charlotta Lindblom não sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 347073. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
277,"O/A Sr.  Francis ""Frank"" Parkes não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 0.0 pelo bilhete 239853. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
278,"O/A Sr.  Eric Rice não sobreviveu ao acidente do Titanic. Na época, contava com 7 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 29.12 pelo bilhete 382652. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
279,"O/A Sra.  Stanton (Rosa Hunt) Abbott sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 20.25 pelo bilhete C.A. 2673. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
280,"O/A Sr.  Frank Duane não sobreviveu ao acidente do Titanic. Na época, contava com 65 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 336439. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
281,"O/A Sr.  Nils Johan Goransson Olsson não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.85 pelo bilhete 347464. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
282,"O/A Sr.  Alfons de Pelsmaeker não sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.5 pelo bilhete 345778. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
283,"O/A Sr.  Edward Arthur Dorking sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/5. 10482. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
284,"O/A Sr.  Richard William Smith não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine A19, classe A. Pagou US$ 26.0 pelo bilhete 113056. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
285,"O/A Sr.  Ivan Stankovic não sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 8.66 pelo bilhete 349239. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
286,"O/A Sr.  Theodore de Mulder sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.5 pelo bilhete 345774. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
287,"O/A Sr.  Penko Naidenoff não sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349206. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
288,"O/A Sr.  Masabumi Hosono sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 237798. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
289,"O/A Sra.  Kate Connolly sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 370373. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
290,"O/A Sra.  Ellen ""Nellie"" Barber sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 78.85 pelo bilhete 19877. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
291,"O/A Sra.  Dickinson H (Helen Walton) Bishop sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Cherbourg, na cabine B49, classe A. Pagou US$ 91.08 pelo bilhete 11967. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
292,"O/A Sr.  Rene Jacques Levy não sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Cherbourg, na cabine D, classe B. Pagou US$ 12.88 pelo bilhete SC/Paris 2163. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
293,"O/A Sra.  Aloisia Haas não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.85 pelo bilhete 349236. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
294,"O/A Sr.  Ivan Mineff não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349233. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
295,"O/A Sr.  Ervin G Lewy não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 27.72 pelo bilhete PC 17612. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
296,"O/A Sr.  Mansour Hanna não sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.23 pelo bilhete 2693. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
297,"O/A Sra.  Helen Loraine Allison não sobreviveu ao acidente do Titanic. Na época, contava com 2 anos, embarcou em Southampton, na cabine C22 C26, classe A. Pagou US$ 151.55 pelo bilhete 113781. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
298,"O/A Sr.  Adolphe Saalfeld sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine C106, classe A. Pagou US$ 30.5 pelo bilhete 19988. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
299,"O/A Sra.  James (Helene DeLaudeniere Chaput) Baxter sobreviveu ao acidente do Titanic. Na época, contava com 50 anos, embarcou em Cherbourg, na cabine B58 B60, classe A. Pagou US$ 247.52 pelo bilhete PC 17558. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
300,"O/A Sra.  Anna Katherine ""Annie Kate"" Kelly sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 9234. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
301,"O/A Sr.  Bernard McCoy sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 23.25 pelo bilhete 367226. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
302,"O/A Sr.  William Cahoone Jr Johnson não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 0.0 pelo bilhete LINE. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
303,"O/A Sra.  Nora A Keane sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine E101, classe B. Pagou US$ 12.35 pelo bilhete 226593. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
304,"O/A Sr.  Howard Hugh ""Harry"" Williams não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/5 2466. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
305,"O/A Sr.  Hudson Trevor Allison sobreviveu ao acidente do Titanic. Na época, contava com 0 anos, embarcou em Southampton, na cabine C22 C26, classe A. Pagou US$ 151.55 pelo bilhete 113781. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
306,"O/A Sra.  Margaret Fleming sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe A. Pagou US$ 110.88 pelo bilhete 17421. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
307,"O/A Sra.  Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana sobreviveu ao acidente do Titanic. Na época, contava com 17 anos, embarcou em Cherbourg, na cabine C65, classe A. Pagou US$ 108.9 pelo bilhete PC 17758. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
308,"O/A Sr.  Samuel Abelson não sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Cherbourg, na cabine desconhecida, classe B. Pagou US$ 24.0 pelo bilhete P/PP 3381. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
309,"O/A Sra.  Laura Mabel Francatelli sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Cherbourg, na cabine E36, classe A. Pagou US$ 56.93 pelo bilhete PC 17485. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
310,"O/A Sra.  Margaret Bechstein Hays sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Cherbourg, na cabine C54, classe A. Pagou US$ 83.16 pelo bilhete 11767. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
311,"O/A Sra.  Emily Borie Ryerson sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Cherbourg, na cabine B57 B59 B63 B66, classe A. Pagou US$ 262.38 pelo bilhete PC 17608. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
312,"O/A Sra.  William (Anna Sylfven) Lahtinen não sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 250651. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
313,"O/A Sr.  Ignjac Hendekovic não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349243. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
314,"O/A Sr.  Benjamin Hart não sobreviveu ao acidente do Titanic. Na época, contava com 43 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.25 pelo bilhete F.C.C. 13529. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
315,"O/A Sra.  Helmina Josefina Nilsson sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.85 pelo bilhete 347470. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
316,"O/A Sra.  Sinai (Miriam Sternin) Kantor sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 244367. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
317,"O/A Sr.  Ernest Moraweck não sobreviveu ao acidente do Titanic. Na época, contava com 54 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 14.0 pelo bilhete 29011. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
